loci	length
R000388	528
R000389	614
R000390	507
R000391	431
R000392	420
R000393	662
R000394	496
R000395	505
R000396	478
R000397	304
R000398	659
R000399	476
R000400	466
R000401	616
R000402	301
R000403	609
R000404	541
R000405	302
R000406	648
R000407	497
R000408	679
R000409	574
R000410	666
R000411	525
R000412	680
R000413	452
R000414	610
R000415	294
R000416	420
R000417	587
R000418	527
R000419	532
R000420	560
R000421	341
R000422	463
R000423	171
R000424	458
R000425	644
R000426	570
R000427	399
R000428	468
R000429	196
R000430	560
R000431	493
R000432	433
R000433	447
R000434	396
R000435	456
R000436	574
R000437	538
R000438	655
R000439	501
R000440	491
R000441	391
R000442	455
R000443	399
R000444	488
R000445	212
R000446	561
R000447	578
R000448	255
R000449	99
R000450	549
R000451	689
R000452	275
R000453	462
R000454	587
R000455	578
R000456	563
R000457	675
R000458	232
R000459	443
R000460	194
R000461	491
R000462	444
R000463	357
R000464	627
R000465	427
R000466	413
R000467	308
R000468	673
R000469	525
R000470	606
R000471	502
R000472	367
R000473	541
R000474	280
R000475	503
R000476	535
R000477	506
R000478	660
R000479	618
R000480	632
R000481	525
R000482	269
R000483	442
R000484	677
R000485	504
R000486	495
R000487	520
R000488	634
R000489	505
R000490	509
R000491	160
R000492	553
R000493	420
R000494	370
R000495	550
R000496	500
R000497	467
R000498	356
R000499	419
R000500	473
R000501	486
R000502	628
R000503	525
R000504	393
R000505	630
R000506	454
R000507	456
R000508	450
R000509	485
R000510	411
R000511	623
R000512	523
R000513	185
R000514	89
R000515	107
R000516	613
R000517	266
R000518	109
R000519	550
R000520	483
R000521	185
R000522	428
R000523	499
R000524	622
R000525	460
R000526	314
R000527	320
R000528	364
R000529	140
R000530	690
R000531	596
R000532	537
R000533	507
R000534	212
R000535	347
R000536	558
R000537	265
R000538	500
R000539	619
R000540	557
R000541	538
R000542	361
R000543	430
R000544	409
R000545	563
R000546	138
R000547	484
R000548	527
R000549	429
R000550	580
R000551	558
R000552	331
R000553	298
R000554	433
R000555	517
R000556	582
R000557	544
R000558	590
R000559	573
R000560	380
R000561	296
R000562	494
R000563	554
R000564	279
R000565	594
R000566	167
R000567	513
R000568	506
R000569	335
R000570	439
R000571	609
R000572	451
R000573	305
R000574	620
R000575	551
R000576	501
R000577	566
R000578	464
R000579	725
R000580	552
R000581	662
R000582	565
R000583	468
R000584	531
R000585	102
R000586	566
R000587	439
R000588	499
R000589	537
R000590	443
R000591	286
R000592	469
R000593	492
R000594	457
R000595	590
R000596	443
R000597	556
R000598	650
R000599	500
R000600	89
R000601	372
R000602	636
R000603	530
R000604	492
R000605	441
R000606	320
R000607	564
R000608	498
R000609	539
R000610	426
R000611	591
R000612	553
R000613	584
R000614	344
R000615	578
R000616	375
R000617	508
R000618	456
R000619	378
R000620	100
R000621	549
R000622	658
R000623	536
R000624	432
R000625	474
R000626	489
R000627	461
R000628	603
R000629	607
R000630	492
R000631	280
R000632	473
R000633	549
R000634	582
R000635	544
R000636	363
R000637	574
R000638	573
R000639	331
R000640	422
R000641	251
R000642	646
R000643	190
R000644	692
R000645	500
R000646	633
R000647	329
R000648	510
R000649	339
R000650	89
R000651	363
R000652	713
R000653	819
R000654	452
R000655	282
R000656	351
R000657	517
R000658	395
R000659	447
R000660	494
R000661	412
R000662	509
R000663	99
R000664	406
R000665	645
R000666	586
R000667	350
R000668	660
R000669	445
R000670	454
R000671	331
R000672	600
R000673	637
R000674	105
R000675	521
R000676	494
R000677	421
R000678	468
R000679	356
R000680	558
R000681	374
R000682	456
R000683	521
R000684	708
R000685	488
R000686	550
R000687	573
R000688	521
R000689	557
R000690	456
R000691	325
R000692	547
R000693	274
R000694	460
R000695	480
R000696	485
R000697	615
R000698	398
R000699	578
R000700	495
R000701	166
R000702	549
R000703	578
R000704	598
R000705	514
R000706	315
R000707	555
R000708	531
R000709	666
R000710	200
R000711	442
R000712	425
R000713	325
R000714	478
R000715	556
R000716	474
R000717	514
R000718	655
R000719	418
R000720	320
R000721	450
R000722	656
R000723	227
R000724	509
R000725	521
R000726	561
R000727	693
R000728	449
R000729	491
R000730	501
R000731	311
R000732	414
R000733	513
R000734	373
R000735	478
R000736	543
R000737	531
R000738	540
R000739	550
R000740	180
R000741	437
R000742	515
R000743	452
R000744	380
R000745	557
R000746	450
R000747	486
R000748	559
R000749	410
R000750	615
R000751	503
R000752	443
R000753	593
R000754	222
R000755	290
R000756	552
R000757	310
R000758	459
R000759	315
R000760	145
R000761	696
R000762	410
R000763	505
R000764	259
R000765	587
R000766	542
R000767	529
R000768	487
R000769	554
R000770	496
R000771	538
R000772	447
R000773	388
R000774	227
R000775	427
R000776	139
R000777	532
R000778	480
R000779	697
R000780	629
R000781	144
R000782	479
R000783	549
R000784	522
R000785	558
R000786	276
R000787	489
R000788	549
R000789	558
R000790	448
R000791	487
R000792	246
R000793	439
R000794	401
R000795	618
R000796	558
R000797	471
R000798	578
R000799	582
R000800	418
R000801	689
R000802	644
R000803	558
R000804	607
R000805	306
R000806	427
R000807	399
R000808	514
R000809	678
R000810	608
R000811	424
R000812	636
R000813	562
R000814	111
R000815	775
R000816	117
R000817	429
R000818	481
R000819	89
R000820	464
R000821	562
R000822	565
R000823	463
R000824	454
R000825	567
R000826	455
R000827	589
R000828	485
R000829	606
R000830	561
R000831	504
R000832	198
R000833	684
R000834	634
R000835	523
R000836	448
R000837	599
R000838	546
R000839	537
R000840	353
R000841	525
R000842	566
R000843	687
R000844	493
R000845	313
R000846	590
R000847	433
R000848	496
R000849	512
R000850	290
R000851	519
R000852	539
R000853	632
R000854	492
R000855	245
R000856	460
R000857	601
R000858	485
R000859	489
R000860	540
R000861	473
R000862	297
R000863	394
R000864	565
R000865	509
R000866	589
R000867	360
R000868	536
R000869	522
R000870	470
R000871	544
R000872	555
R000873	475
R000874	571
R000875	469
R000876	490
R000877	497
R000878	505
R000879	636
R000880	423
R000881	120
R000882	458
R000883	478
R000884	578
R000885	510
R000886	374
R000887	550
R000888	482
R000889	484
R000890	456
R000891	460
R000892	401
R000893	356
R000894	454
R000895	532
R000896	521
R000897	433
R000898	405
R000899	575
R000900	387
R000901	576
R000902	484
R000903	459
R000904	529
R000905	580
R000906	426
R000907	99
R000908	551
R000909	460
R000910	301
R000911	500
R000912	411
R000913	641
R000914	664
R000915	435
R000916	587
R000917	114
R000918	660
R000919	558
R000920	474
R000921	638
R000922	578
R000923	335
R000924	573
R000925	281
R000926	491
R000927	384
R000928	438
R000929	462
R000930	537
R000931	200
R000932	510
R000933	581
R000934	642
R000935	584
R000936	503
R000937	408
R000938	487
R000939	579
R000940	280
R000941	447
R000942	535
R000943	364
R000944	526
R000945	600
R000946	383
R000947	507
R000948	480
R000949	458
R000950	588
R000951	706
R000952	389
R000953	573
R000954	648
R000955	627
R000956	593
R000957	463
R000958	493
R000959	375
R000960	527
R000961	576
R000962	438
R000963	520
R000964	388
R000965	352
R000966	475
R000967	452
R000968	452
R000969	605
R000970	112
R000971	244
R000972	456
R000973	451
R000974	426
R000975	389
R000976	502
R000977	532
R000978	579
R000980	377
R000981	449
R000982	422
R000983	644
R000984	587
R000985	311
R000986	407
R000987	592
R000988	396
R000989	115
R000990	399
R000991	586
R000992	702
R000993	560
R000994	566
R000995	598
R000996	680
R000997	515
R000998	571
R000999	413
R001000	487
R001001	641
R001002	416
R001003	389
R001004	341
R001005	514
R001006	433
R001007	507
R001008	675
R001009	424
R001010	486
R001011	521
R001012	417
R001013	111
R001014	365
R001015	278
R001016	456
R001017	529
R001018	598
R001019	500
R001020	394
R001021	464
R001022	396
R001023	531
R001024	426
R001025	544
R001026	614
R001027	534
R001028	576
R001029	409
R001030	329
R001031	496
R001032	581
R001033	602
R001034	113
R001035	429
R001036	431
R001037	530
R001038	523
R001039	89
R001040	482
R001041	564
R001042	616
R001043	205
R001044	568
R001045	440
R001046	362
R001047	475
R001048	479
R001049	479
R001050	514
R001051	518
R001052	554
R001053	510
R001054	522
R001055	471
R001056	487
R001057	387
R001058	507
R001059	507
R001060	735
R001061	455
R001062	537
R001063	568
R001064	290
R001065	196
R001066	624
R001067	441
R001068	557
R001069	494
R001070	510
R001071	400
R001072	608
R001073	329
R001074	538
R001075	262
R001076	644
R001077	646
R001078	247
R001079	545
R001080	459
R001081	381
R001082	437
R001083	454
R001084	456
R001085	515
R001086	513
R001087	452
R001088	491
R001089	499
R001090	233
R001091	644
R001092	504
R001093	508
R001094	495
R001095	181
R001096	607
R001097	408
R001098	526
R001099	345
R001100	485
R001101	646
R001102	474
R001103	582
R001104	667
R001105	416
R001106	518
R001107	641
R001108	532
R001109	374
R001110	414
R001111	499
R001112	465
R001113	478
R001114	637
R001115	400
R001116	496
R001117	614
R001118	489
R001119	476
R001120	133
R001121	481
R001122	479
R001123	562
R001124	514
R001125	519
R001126	545
R001127	185
R001128	641
R001129	390
R001130	561
R001131	356
R001132	606
R001133	213
R001134	461
R001135	108
R001136	232
R001137	371
R001138	156
R001139	613
R001140	612
R001141	413
R001142	256
R001143	502
R001144	601
R001145	514
R001146	324
R001147	464
R001148	298
R001149	543
R001150	286
R001151	532
R001152	502
R001153	315
R001154	180
R001155	520
R001156	133
R001157	608
R001158	605
R001159	446
R001160	669
R001161	460
R001162	406
R001163	531
R001164	222
R001165	461
R001166	624
R001167	445
R001168	398
R001169	404
R001170	633
R001171	483
R001172	588
R001173	594
R001174	437
R001175	525
R001176	659
R001177	434
R001178	633
R001179	423
R001180	739
R001181	628
R001182	407
R001183	489
R001184	463
R001185	458
R001186	464
R001187	436
R001189	309
R001190	589
R001191	694
R001192	480
R001193	608
R001194	437
R001195	377
R001196	554
R001197	540
R001198	193
R001199	476
R001200	89
R001201	384
R001202	487
R001203	249
R001204	89
R001205	631
R001206	616
R001207	289
R001208	516
R001209	613
R001210	477
R001211	491
R001212	266
R001213	440
R001214	587
R001215	445
R001216	443
R001217	478
R001218	543
R001219	533
R001220	463
R001221	565
R001222	623
R001223	402
R001224	493
R001225	643
R001226	548
R001227	581
R001228	356
R001229	477
R001230	606
R001231	551
R001232	627
R001233	413
R001234	530
R001235	635
R001236	560
R001237	560
R001238	537
R001239	359
R001240	262
R001241	502
R001242	282
R001243	501
R001244	506
R001245	537
R001246	159
R001247	588
R001248	398
R001249	381
R001250	470
R001251	315
R001252	450
R001253	490
R001254	479
R001255	444
R001256	542
R001257	460
R001258	415
R001259	406
R001260	588
R001261	449
R001262	495
R001263	462
R001264	622
R001265	608
R001266	501
R001267	636
R001268	398
R001269	331
R001270	626
R001271	560
R001272	605
R001273	363
R001274	524
R001275	513
R001276	551
R001277	602
R001278	532
R001279	559
R001280	477
R001281	295
R001282	375
R001283	609
R001284	611
R001285	584
R001286	582
R001287	542
R001288	460
R001289	471
R001290	505
R001291	619
R001292	105
R001293	578
R001294	489
R001295	448
R001296	574
R001297	524
R001298	460
R001299	431
R001300	447
R001301	516
R001302	431
R001303	568
R001304	567
R001305	471
R001306	499
R001307	139
R001308	202
R001309	574
R001310	499
R001311	727
R001312	646
R001313	501
R001314	343
R001315	340
R001316	455
R001317	268
R001318	481
R001319	579
R001320	679
R001321	479
R001322	417
R001323	431
R001324	615
R001325	183
R001326	735
R001327	574
R001328	586
R001330	494
R001331	178
R001332	580
R001333	514
R001334	650
R001335	462
R001336	520
R001337	439
R001338	665
R001339	492
R001340	528
R001341	473
R001342	418
R001343	570
R001344	354
R001345	121
R001346	568
R001347	357
R001348	459
R001349	532
R001350	585
R001351	482
R001352	425
R001353	524
R001354	443
R001355	485
R001356	505
R001357	640
R001358	317
R001359	520
R001360	534
R001361	606
R001362	494
R001363	456
R001364	474
R001365	368
R001366	680
R001367	570
R001368	648
R001369	591
R001370	541
R001371	511
R001372	635
R001373	305
R001374	365
R001375	718
R001376	499
R001377	574
R001378	598
R001379	647
R001380	499
R001381	570
R001382	456
R001383	555
R001384	655
R001385	498
R001386	561
R001387	606
R001388	545
R001389	516
R001390	578
R001391	493
R001392	306
R001393	513
R001394	433
R001395	441
R001396	481
R001397	679
R001398	634
R001399	533
R001400	504
R001401	462
R001402	452
R001403	611
R001404	474
R001405	639
R001406	498
R001407	496
R001408	614
R001409	497
R001410	433
R001411	419
R001412	600
R001413	484
R001414	384
R001415	336
R001416	451
R001417	471
R001418	517
R001419	218
R001420	588
R001421	419
R001422	317
R001423	399
R001424	663
R001425	515
R001426	495
R001427	455
R001428	455
R001429	571
R001430	509
R001431	438
R001432	595
R001433	389
R001434	438
R001435	314
R001436	543
R001437	479
R001438	440
R001439	547
R001440	496
R001441	136
R001442	516
R001443	482
R001444	552
R001445	481
R001446	534
R001447	494
R001448	405
R001449	440
R001450	423
R001451	671
R001452	554
R001453	483
R001454	326
R001455	379
R001456	532
R001457	581
R001458	365
R001459	399
R001460	327
R001461	609
R001462	629
R001463	465
R001464	661
R001465	672
R001466	566
R001467	580
R001468	418
R001469	593
R001470	512
R001471	488
R001472	502
R001473	529
R001474	495
R001475	412
R001476	462
R001477	595
R001478	518
R001479	435
R001480	604
R001481	478
R001482	449
R001483	146
R001484	111
R001485	236
R001486	448
R001487	526
R001488	804
R001489	495
R001490	634
R001491	556
R001493	543
R001494	100
R001495	421
R001496	542
R001497	427
R001498	659
R001499	476
R001500	491
R001501	321
R001502	491
R001503	531
R001504	319
R001505	335
R001506	353
R001507	435
R001508	465
R001509	438
R001510	114
R001511	154
R001512	474
R001513	574
R001514	656
R001515	408
R001516	496
R001517	89
R001518	290
R001519	600
R001520	548
R001521	236
R001522	538
R001523	486
R001524	444
R001525	493
R001526	447
R001527	534
R001528	577
R001529	506
R001530	598
R001531	577
R001532	650
R001533	134
R001534	480
R001535	546
R001536	637
R001537	682
R001538	636
R001539	571
R001540	422
R001541	312
R001542	514
R001543	252
R001544	89
R001545	702
R001546	592
R001547	236
R001548	389
R001549	441
R001550	634
R001551	425
R001552	436
R001553	442
R001554	538
R001555	127
R001556	421
R001557	497
R001558	436
R001559	650
R001560	397
R001561	477
R001562	418
R001563	401
R001564	593
R001565	114
R001566	326
R001567	514
R001568	611
R001569	233
R001570	384
R001571	140
R001572	393
R001573	587
R001574	220
R001575	386
R001576	564
R001577	427
R001578	445
R001579	151
R001580	468
R001581	579
R001582	119
R001583	633
R001584	544
R001585	660
R001586	605
R001587	105
R001588	487
R001589	462
R001590	421
R001591	551
R001592	493
R001593	565
R001594	680
R001595	506
R001596	953
R001597	636
R001598	586
R001599	526
R001600	406
R001601	589
R001602	485
R001603	599
R001604	377
R001605	458
R001606	559
R001607	404
R001608	410
R001609	536
R001610	343
R001611	627
R001612	423
R001613	528
R001614	437
R001615	417
R001616	638
R001617	436
R001618	423
R001619	466
R001620	482
R001621	379
R001622	677
R001623	480
R001624	471
R001625	466
R001626	373
R001627	216
R001628	572
R001629	366
R001630	231
R001631	633
R001632	482
R001633	561
R001634	507
R001635	89
R001636	213
R001637	472
R001638	453
R001639	591
R001640	457
R001641	325
R001642	385
R001643	472
R001644	551
R001645	532
R001646	543
R001647	397
R001648	617
R001649	348
R001650	415
R001651	464
R001652	656
R001653	471
R001654	544
R001655	489
R001656	572
R001657	424
R001658	375
R001659	105
R001660	586
R001661	400
R001662	493
R001663	462
R001664	591
R001665	551
R001666	533
R001667	480
R001668	466
R001669	359
R001670	357
R001671	386
R001672	577
R001673	646
R001674	515
R001675	490
R001676	581
R001677	617
R001678	564
R001679	613
R001680	474
R001681	581
R001682	194
R001683	463
R001684	312
R001685	475
R001686	554
R001687	638
R001688	89
R001689	607
R001690	607
R001691	662
R001692	296
R001693	433
R001694	308
R001695	389
R001696	587
R001697	585
R001698	502
R001699	444
R001700	667
R001701	425
R001702	403
R001703	438
R001704	424
R001705	601
R001706	453
R001707	384
R001708	779
R001709	380
R001710	439
R001711	574
R001712	493
R001713	624
R001714	699
R001715	178
R001716	614
R001717	477
R001718	411
R001719	525
R001720	558
R001721	467
R001722	399
R001723	519
R001724	284
R001725	435
R001726	411
R001727	450
R001728	445
R001729	740
R001730	561
R001731	352
R001732	402
R001733	482
R001734	458
R001735	307
R001736	463
R001737	660
R001738	584
R001739	289
R001740	478
R001741	461
R001742	406
R001743	553
R001744	126
R001745	515
R001746	646
R001747	504
R001748	723
R001749	439
R001750	473
R001751	238
R001752	474
R001753	577
R001754	552
R001755	509
R001756	436
R001757	564
R001758	424
R001759	588
R001760	566
R001761	408
R001762	389
R001763	519
R001764	219
R001765	436
R001766	653
R001767	558
R001768	620
R001769	495
R001770	290
R001771	429
R001772	284
R001773	693
R001774	442
R001775	421
R001776	436
R001777	502
R001778	552
R001779	419
R001780	462
R001781	517
R001782	356
R001783	540
R001784	302
R001785	299
R001786	466
R001787	352
R001788	676
R001789	497
R001790	162
R001791	247
R001792	347
R001793	704
R001794	435
R001795	593
R001796	257
R001797	661
R001798	651
R001799	444
R001800	517
R001801	408
R001802	479
R001803	344
R001804	174
R001806	432
R001807	666
R001808	250
R001809	516
R001810	466
R001811	570
R001812	215
R001813	452
R001814	681
R001815	554
R001816	496
R001817	577
R001818	317
R001819	525
R001820	627
R001821	177
R001822	446
R001823	718
R001824	688
R001825	400
R001826	173
R001827	345
R001828	727
R001829	291
R001830	404
R001831	512
R001832	469
R001833	477
R001834	428
R001835	177
R001836	184
R001837	492
R001838	689
R001839	421
R001840	462
R001841	572
R001842	398
R001843	462
R001844	673
R001845	364
R001846	468
R001847	634
R001848	468
R001849	502
R001850	643
R001851	504
R001852	604
R001853	617
R001854	544
R001855	668
R001856	182
R001857	555
R001858	294
R001859	532
R001860	393
R001861	484
R001862	533
R001863	553
R001864	535
R001865	445
R001866	150
R001867	385
R001868	464
R001869	428
R001870	540
R001871	487
R001872	544
R001873	319
R001874	602
R001875	563
R001876	262
R001877	481
R001878	504
R001879	536
R001880	215
R001881	451
R001882	247
R001883	529
R001884	591
R001885	333
R001886	638
R001887	408
R001888	568
R001889	529
R001890	498
R001891	443
R001892	543
R001893	535
R001894	677
R001895	392
R001896	346
R001897	390
R001898	455
R001899	515
R001900	302
R001901	143
R001902	248
R001903	412
R001904	486
R001905	613
R001906	446
R001907	457
R001908	416
R001909	167
R001910	697
R001911	562
R001912	520
R001913	563
R001914	495
R001915	528
R001916	496
R001917	289
R001918	588
R001919	615
R001920	637
R001921	89
R001922	438
R001923	510
R001924	467
R001925	400
R001926	637
R001927	506
R001928	576
R001929	697
R001930	261
R001931	624
R001932	255
R001933	576
R001934	602
R001935	369
R001936	634
R001937	494
R001938	385
R001939	483
R001940	146
R001941	292
R001942	307
R001943	492
R001944	434
R001945	553
R001946	565
R001947	347
R001948	450
R001949	406
R001950	382
R001951	595
R001952	528
R001953	514
R001954	365
R001955	568
R001956	363
R001957	611
R001958	474
R001959	569
R001960	585
R001961	577
R001962	461
R001963	454
R001964	604
R001965	484
R001966	432
R001967	347
R001968	845
R001969	536
R001970	465
R001971	501
R001972	433
R001973	529
R001974	479
R001975	685
R001976	248
R001977	542
R001978	322
R001979	390
R001980	413
R001981	603
R001982	293
R001983	538
R001984	571
R001985	594
R001986	601
R001987	387
R001988	320
R001989	523
R001990	568
R001991	391
R001992	653
R001993	342
R001994	437
R001995	418
R001996	357
R001997	275
R001998	370
R001999	528
R002000	396
R002001	305
R002002	473
R002003	577
R002004	267
R002005	443
R002006	723
R002007	612
R002008	355
R002009	266
R002010	472
R002011	535
R002012	364
R002013	364
R002014	562
R002015	479
R002016	422
R002017	524
R002018	462
R002019	486
R002020	473
R002022	611
R002023	589
R002024	393
R002025	588
R002026	321
R002027	638
R002028	511
R002029	632
R002030	381
R002031	379
R002032	259
R002033	119
R002034	462
R002035	641
R002036	459
R002037	546
R002038	516
R002039	463
R002040	335
R002041	529
R002042	424
R002043	398
R002044	500
R002045	624
R002046	403
R002047	568
R002048	262
R002049	486
R002050	640
R002051	545
R002052	161
R002053	288
R002054	282
R002055	537
R002056	559
R002057	575
R002058	505
R002059	522
R002060	323
R002061	377
R002062	520
R002063	385
R002064	329
R002065	661
R002066	562
R002067	471
R002068	545
R002069	434
R002070	518
R002071	472
R002072	469
R002073	614
R002074	406
R002075	669
R002076	603
R002077	503
R002078	758
R002079	512
R002080	625
R002081	616
R002082	540
R002083	253
R002084	502
R002085	615
R002086	561
R002087	498
R002088	159
R002089	486
R002090	506
R002091	371
R002092	618
R002093	552
R002094	401
R002095	405
R002096	699
R002097	531
R002098	449
R002099	307
R002100	601
R002101	456
R002102	524
R002103	122
R002104	619
R002105	513
R002106	515
R002107	568
R002108	522
R002109	467
R002110	133
R002111	488
R002112	550
R002113	450
R002114	443
R002115	279
R002116	511
R002117	497
R002118	832
R002119	201
R002120	623
R002121	423
R002122	255
R002123	320
R002124	208
R002125	460
R002126	498
R002127	627
R002128	508
R002129	428
R002130	546
R002131	394
R002132	362
R002133	676
R002134	612
R002135	429
R002136	491
R002137	649
R002138	449
R002139	558
R002140	185
R002141	173
R002142	422
R002143	114
R002144	366
R002145	545
R002146	392
R002147	543
R002148	574
R002149	552
R002150	555
R002151	615
R002152	365
R002154	624
R002155	544
R002156	513
R002157	250
R002158	432
R002159	502
R002160	378
R002161	219
R002162	363
R002163	478
R002164	362
R002165	670
R002166	439
R002167	89
R002168	750
R002169	401
R002170	467
R002171	201
R002172	646
R002173	435
R002174	517
R002175	621
R002176	319
R002177	544
R002178	600
R002179	612
R002180	451
R002181	326
R002182	587
R002183	516
R002184	494
R002185	546
R002186	283
R002187	563
R002188	533
R002189	545
R002190	564
R002191	543
R002192	526
R002193	189
R002194	374
R002195	542
R002196	387
R002197	113
R002198	427
R002199	566
R002200	690
R002201	578
R002202	352
R002203	533
R002204	484
R002205	559
R002206	399
R002207	594
R002208	631
R002209	451
R002210	339
R002211	592
R002212	544
R002213	666
R002214	650
R002215	413
R002216	546
R002217	593
R002218	470
R002219	472
R002220	348
R002221	482
R002222	378
R002223	467
R002224	601
R002225	229
R002226	539
R002227	424
R002228	547
R002229	577
R002230	477
R002231	299
R002232	512
R002233	325
R002234	427
R002235	482
R002236	483
R002237	456
R002238	408
R002239	510
R002240	534
R002241	454
R002242	515
R002243	707
R002244	620
R002245	660
R002246	595
R002247	466
R002248	466
R002249	442
R002250	550
R002251	489
R002252	563
R002253	558
R002254	408
R002255	577
R002256	469
R002257	141
R002258	504
R002259	390
R002260	534
R002261	395
R002262	373
R002263	551
R002264	494
R002265	571
R002266	551
R002267	433
R002268	377
R002269	222
R002270	496
R002271	564
R002272	293
R002273	461
R002274	626
R002275	310
R002276	478
R002277	580
R002278	735
R002279	551
R002280	436
R002281	222
R002282	471
R002283	582
R002284	561
R002285	451
R002286	601
R002287	344
R002288	530
R002289	503
R002290	624
R002291	348
R002292	517
R002293	405
R002294	399
R002295	223
R002296	351
R002297	586
R002298	440
R002299	486
R002300	347
R002301	423
R002302	671
R002303	438
R002304	302
R002305	363
R002306	437
R002307	491
R002308	366
R002309	460
R002310	680
R002311	418
R002312	205
R002313	538
R002314	471
R002315	603
R002316	437
R002317	496
R002318	592
R002319	530
R002320	651
R002321	548
R002322	477
R002323	554
R002324	573
R002325	636
R002326	440
R002327	635
R002328	441
R002329	712
R002330	738
R002331	691
R002332	389
R002333	478
R002334	541
R002335	533
R002336	599
R002337	535
R002338	515
R002339	648
